Success,Time (us)
No,101
No,96
No,99
No,99
No,99
No,90
No,82
No,81
No,82
No,82
No,84
No,155
No,87
No,80
No,81
No,81
No,81
No,82
No,80
No,80
No,93
No,84
No,82
No,82
No,86
No,84
No,83
No,79
No,79
No,81
No,89
No,84
No,84
No,84
No,84
No,84
No,85
No,84
No,84
No,84
No,94
No,84
No,84
No,85
No,83
No,83
No,83
No,83
No,83
No,83
No,88
No,79
No,78
No,77
No,79
No,79
No,73
No,73
No,74
No,73
No,88
No,86
No,85
No,85
No,85
No,85
No,85
No,85
No,85
No,85
No,86
No,82
No,82
No,82
No,82
No,82
No,82
No,82
No,82
No,82
No,88
No,85
No,86
No,82
No,81
No,82
No,82
No,82
No,82
No,82
No,90
No,87
No,87
No,86
No,87
No,89
No,90
No,89
No,83
No,83
No,84
No,77
No,80
No,79
No,122
No,84
No,79
No,78
No,78
No,78
No,102
No,84
No,82
No,81
No,81
No,77
No,77
No,76
No,77
No,77
No,87
No,80
No,86
No,135
No,85
No,80
No,80
No,79
No,78
No,80
No,87
No,81
No,81
No,79
No,75
No,74
No,75
No,75
No,75
No,75
No,88
No,81
No,82
No,80
No,77
No,77
No,77
No,77
No,76
No,77
No,88
No,83
No,81
No,79
No,79
No,73
No,73
No,73
No,73
No,75
No,235
No,84
No,83
No,79
No,77
No,80
No,80
No,81
No,77
No,77
No,95
No,91
No,84
No,135
No,89
No,87
No,82
No,79
No,79
No,79
No,86
No,81
No,81
No,80
No,80
No,80
No,82
No,79
No,79
No,80
No,91
No,88
No,89
No,100
No,82
No,74
No,73
No,73
No,74
No,73
No,92
No,89
No,83
No,83
No,85
No,80
No,78
No,78
No,79
No,78
No,84
No,400
No,83
No,79
No,79
No,79
No,79
No,79
No,79
No,79
No,86
No,84
No,84
No,84
No,83
No,82
No,79
No,79
No,78
No,78
No,88
No,85
No,80
No,80
No,79
No,79
No,79
No,78
No,79
No,78
No,84
No,80
No,81
No,80
No,80
No,81
No,115
No,95
No,86
No,75
No,87
No,89
No,83
No,80
No,77
No,77
No,77
No,77
No,77
No,76
No,84
No,79
No,78
No,78
No,78
No,78
No,78
No,78
No,78
No,79
No,109
No,90
No,88
No,87
No,88
No,87
No,85
No,76
No,74
No,74
No,88
No,85
No,84
No,83
No,78
No,78
No,79
No,79
No,84
No,83
No,90
No,94
No,80
No,77
No,79
No,87
No,81
No,80
No,103
No,91
Yes,78
Yes,71
Yes,71
Yes,69
Yes,62
Yes,61
Yes,61
Yes,61
Yes,60
Yes,61
Yes,33
Yes,28
Yes,28
Yes,28
Yes,28
Yes,28
Yes,27
Yes,28
Yes,28
Yes,28
No,94
No,88
No,84
No,83
No,83
No,81
No,81
No,81
No,82
No,82
No,106
No,86
No,81
No,79
No,78
No,75
No,76
No,76
No,76
No,75
No,112
No,89
No,90
No,94
No,83
No,80
No,80
No,80
No,80
No,80
No,93
No,174
No,84
No,79
No,79
No,310
No,123
No,86
No,84
No,79
No,92
No,84
No,86
No,83
No,85
No,85
No,80
No,79
No,83
No,81
No,88
No,84
No,85
No,85
No,102
No,91
No,89
No,86
No,81
No,81
Yes,47
Yes,43
Yes,42
Yes,42
Yes,42
Yes,42
Yes,42
Yes,41
Yes,42
Yes,41
Yes,161
Yes,36
Yes,35
Yes,35
Yes,35
Yes,35
Yes,35
Yes,35
Yes,35
Yes,35
Yes,38
Yes,38
Yes,33
Yes,33
Yes,34
Yes,33
Yes,34
Yes,33
Yes,33
Yes,33
Yes,40
Yes,33
Yes,33
Yes,33
Yes,36
Yes,34
Yes,33
Yes,34
Yes,33
Yes,33
Yes,39
Yes,36
Yes,147
Yes,36
Yes,34
Yes,34
Yes,33
Yes,32
Yes,31
Yes,31
Yes,41
Yes,34
Yes,33
Yes,34
Yes,30
Yes,32
Yes,35
Yes,35
Yes,36
Yes,30
Yes,37
Yes,34
Yes,34
Yes,34
Yes,34
Yes,34
Yes,34
Yes,34
Yes,34
Yes,34
Yes,82
Yes,78
Yes,78
Yes,77
Yes,77
Yes,78
Yes,78
Yes,78
Yes,85
Yes,78
Yes,60
Yes,54
Yes,54
Yes,54
Yes,54
Yes,54
Yes,54
Yes,54
Yes,54
Yes,53
